country,region,indicator variable,value
Denmark,Europe,life_expectancy,82.1
Denmark,Europe,maternal_mortality,4
Australia,Australia and Oceania,infant_mortality,3
Australia,Australia and Oceania,life_expectancy,83.5
Australia,Australia and Oceania,maternal_mortality,2
Switzerland,Europe,infant_mortality,3
Switzerland,Europe,life_expectancy,83.9
Switzerland,Europe,maternal_mortality,5
Belgium,Europe,infant_mortality,3
Belgium,Europe,life_expectancy,82.3
Belgium,Europe,maternal_mortality,4
Germany,Europe,infant_mortality,3
Germany,Europe,life_expectancy,81.9
Germany,Europe,maternal_mortality,4
Italy,Europe,infant_mortality,3
Italy,Europe,life_expectancy,83
Italy,Europe,maternal_mortality,6
Anguilla,Central America and the Caribbean,infant_mortality,2.9
Anguilla,Central America and the Caribbean,life_expectancy,82.6
Anguilla,Central America and the Caribbean,maternal_mortality,NA
Israel,Middle East,infant_mortality,2.6
Israel,Middle East,life_expectancy,83.1
Israel,Middle East,maternal_mortality,2
Lithuania,Europe,infant_mortality,2.5
Lithuania,Europe,life_expectancy,76.1
Lithuania,Europe,maternal_mortality,8
Czechia,Europe,infant_mortality,2.5
Czechia,Europe,life_expectancy,78.6
Czechia,Europe,maternal_mortality,3
Hong Kong,East and Southeast Asia,infant_mortality,2.4
Hong Kong,East and Southeast Asia,life_expectancy,84
Hong Kong,East and Southeast Asia,maternal_mortality,NA
Portugal,Europe,infant_mortality,2.4
Portugal,Europe,life_expectancy,81.9
Portugal,Europe,maternal_mortality,15
Spain,Europe,infant_mortality,2.4
Spain,Europe,life_expectancy,83
Spain,Europe,maternal_mortality,3
Latvia,Europe,infant_mortality,2.4
Latvia,Europe,life_expectancy,76.4
Latvia,Europe,maternal_mortality,19
Sweden,Europe,infant_mortality,2.2
Sweden,Europe,life_expectancy,82.9
Sweden,Europe,maternal_mortality,4
"Korea, South",East and Southeast Asia,infant_mortality,2.2
"Korea, South",East and Southeast Asia,life_expectancy,83.4
"Korea, South",East and Southeast Asia,maternal_mortality,4
Belarus,Europe,infant_mortality,2.1
Belarus,Europe,life_expectancy,74.7
Belarus,Europe,maternal_mortality,1
Bermuda,North America,infant_mortality,2.1
Bermuda,North America,life_expectancy,82.5
Bermuda,North America,maternal_mortality,NA
Estonia,Europe,infant_mortality,2
Estonia,Europe,life_expectancy,78.4
Estonia,Europe,maternal_mortality,5
Finland,Europe,infant_mortality,1.9
Finland,Europe,life_expectancy,82.2
Finland,Europe,maternal_mortality,8
Norway,Europe,infant_mortality,1.8
Norway,Europe,life_expectancy,82.9
Norway,Europe,maternal_mortality,1
Japan,East and Southeast Asia,infant_mortality,1.8
Japan,East and Southeast Asia,life_expectancy,85.2
Japan,East and Southeast Asia,maternal_mortality,3
Slovenia,Europe,infant_mortality,1.8
Slovenia,Europe,life_expectancy,82.2
Slovenia,Europe,maternal_mortality,3
Monaco,Europe,infant_mortality,1.7
Monaco,Europe,life_expectancy,89.8
Monaco,Europe,maternal_mortality,5
Iceland,Europe,infant_mortality,1.6
Iceland,Europe,life_expectancy,84
Iceland,Europe,maternal_mortality,3
Singapore,East and Southeast Asia,infant_mortality,1.5
Singapore,East and Southeast Asia,life_expectancy,86.7
Singapore,East and Southeast Asia,maternal_mortality,6
